Designator,Mid X,Mid Y,Rotation,Layer
C1,160.575,-90.81,0.0,top
C10,181.59,-94.22,90.0,top
C11,184.6,-94.22,90.0,top
C2,160.635,-88.61,0.0,top
C3,160.655,-86.42,0.0,top
C4,156.435,-91.73,180.0,top
C5,166.025,-94.17,90.0,top
C6,169.035,-94.17,90.0,top
C7,172.045,-94.17,90.0,top
C8,154.155,-93.5,90.0,top
C9,178.58,-94.22,90.0,top
J1,165.24,-76.67,0.0,top
J2,165.24,-71.58,0.0,top
J4,202.87,-94.37,270.0,top
L1,161.895,-99.61,0.0,top
L2,175.43,-95.11,0.0,top
R1,146.34,-88.21,0.0,top
R2,156.445,-95.27,180.0,top
R3,175.36,-93.24,0.0,top
R4,156.435,-94.08,0.0,top
R5,156.445,-92.98,0.0,top
R6,141.47,-88.22,0.0,top
R7,141.47,-91.17,0.0,top
U1,160.435,-93.84,90.0,top
